node_id,state,tilt,displacement,crack_width,vibration,load_change,temperature,humidity,battery,rate_tilt_5m,rate_disp_5m,rate_crack_5m,risk_score,risk_level
N5,NORMAL,0.92,0.78,0.41,0.033,2.25,31.5,69.2,61.0,0.005,0.084,0.016,5.9,LOW
N4,SUBSIDENCE,10.27,30.21,16.8,1.798,73.21,36.6,71.5,62.6,1.421,2.511,1.002,100.0,CRITICAL
N3,NORMAL,0.69,0.34,0.77,0.135,4.17,35.3,70.0,87.9,0.032,0.007,0.005,7.9,LOW
N2,WARNING,2.99,4.32,1.97,0.498,30.84,37.9,67.7,65.1,0.106,0.759,0.158,49.7,MEDIUM
N4,NORMAL,1.01,2.19,0.45,0.134,4.07,29.6,74.1,91.8,0.002,0.057,0.017,13.6,LOW
N1,NORMAL,0.47,0.21,0.96,0.115,3.74,28.4,74.6,86.4,0.041,0.007,0.003,7.0,LOW
N5,NORMAL,0.79,1.34,0.21,0.081,1.81,25.0,76.3,88.4,0.023,0.013,0.013,5.5,LOW
N6,NORMAL,0.12,1.51,0.33,0.021,-0.67,31.3,81.3,75.7,0.047,0.052,0.02,5.6,LOW
N1,SUBSIDENCE,6.14,17.31,10.18,2.336,49.4,34.6,90.7,71.5,0.637,1.805,0.812,100.0,CRITICAL
N2,WARNING,1.62,4.58,3.68,0.186,25.34,27.1,91.3,79.3,0.169,0.213,0.094,37.8,MEDIUM
N2,SUBSIDENCE,8.29,29.97,15.51,2.46,36.34,26.3,81.9,68.4,0.802,1.48,1.1,100.0,CRITICAL
N1,SUBSIDENCE,11.57,20.42,9.85,3.936,66.3,34.8,91.7,70.3,1.744,0.889,0.633,100.0,CRITICAL
N2,NORMAL,1.12,1.57,0.8,0.084,-0.51,24.1,68.3,82.9,0.046,0.093,0.01,8.5,LOW
N4,SUBSIDENCE,3.7,22.69,9.46,3.215,39.17,31.2,74.1,87.3,1.033,2.943,1.022,100.0,CRITICAL
N2,NORMAL,1.03,1.8,0.93,0.135,3.35,27.6,80.9,71.6,0.008,0.042,0.01,10.6,LOW
N5,NORMAL,0.86,1.28,0.46,0.177,0.75,31.0,83.0,67.2,0.018,0.032,0.018,11.6,LOW
N4,NORMAL,0.7,0.83,0.73,0.153,3.0,29.9,84.5,70.4,0.037,0.051,0.014,9.6,LOW
N3,NORMAL,0.18,1.15,0.46,0.061,3.09,30.1,86.2,82.7,0.004,0.022,0.015,7.8,LOW
N2,NORMAL,1.15,1.57,0.01,0.076,-1.0,27.2,90.4,72.3,0.046,0.01,0.008,9.1,LOW
N2,NORMAL,1.19,0.29,0.13,0.056,3.68,34.4,69.0,65.3,0.044,0.007,0.001,7.4,LOW
N5,WARNING,1.25,2.77,1.79,0.217,16.07,25.3,84.8,72.7,0.258,0.328,0.187,30.7,MEDIUM
N5,NORMAL,0.92,0.51,0.9,0.059,0.47,37.3,74.9,63.8,0.048,0.058,0.007,9.3,LOW
N6,NORMAL,1.2,0.82,0.85,0.046,3.12,24.4,83.1,65.8,0.026,0.098,0.011,12.0,LOW
N1,NORMAL,0.98,2.17,0.48,0.145,-0.98,24.6,87.6,63.2,0.025,0.039,0.012,10.2,LOW
N1,NORMAL,0.82,0.24,0.83,0.048,1.61,34.1,73.5,90.1,0.013,0.072,0.006,7.8,LOW
N1,WARNING,1.27,4.06,2.5,0.206,10.58,27.5,72.8,85.8,0.284,0.784,0.19,34.2,MEDIUM
N5,NORMAL,0.23,2.38,0.22,0.18,1.47,27.8,85.0,92.3,0.039,0.0,0.018,7.6,LOW
N1,SUBSIDENCE,4.9,24.37,12.89,1.827,71.13,34.4,72.0,95.9,0.776,2.135,1.087,100.0,CRITICAL
N1,WARNING,3.18,5.3,2.3,0.395,26.22,27.5,65.6,88.0,0.218,0.237,0.174,46.8,MEDIUM
N3,NORMAL,0.81,1.14,0.53,0.172,2.17,28.2,81.2,91.1,0.033,0.006,0.003,8.2,LOW
N1,NORMAL,0.45,1.02,0.26,0.061,4.64,34.1,85.0,65.4,0.032,0.016,0.014,7.0,LOW
N2,WARNING,2.14,3.09,3.45,0.553,20.22,37.6,71.0,62.4,0.136,0.229,0.044,38.3,MEDIUM
N6,WARNING,3.41,5.52,3.39,0.205,22.01,29.6,89.0,80.9,0.15,0.64,0.029,44.8,MEDIUM
N5,WARNING,2.47,3.03,1.4,0.566,25.25,36.0,68.1,78.0,0.295,0.598,0.133,43.4,MEDIUM
N4,WARNING,1.86,3.08,3.29,0.471,21.7,33.4,78.0,92.7,0.153,0.422,0.047,39.0,MEDIUM
N6,NORMAL,0.32,0.67,0.65,0.155,1.31,34.4,87.2,69.9,0.036,0.1,0.02,8.4,LOW
N3,NORMAL,1.02,1.13,0.96,0.033,1.05,32.3,87.7,85.8,0.028,0.041,0.004,8.6,LOW
N5,NORMAL,0.36,1.88,0.26,0.048,2.83,28.2,79.8,65.3,0.042,0.048,0.011,6.5,LOW
N5,SUBSIDENCE,11.62,37.61,16.02,2.607,94.41,34.6,92.9,66.1,1.042,1.91,0.45,100.0,CRITICAL
N2,WARNING,1.61,4.88,3.42,0.348,12.62,25.1,84.3,78.6,0.205,0.475,0.034,39.5,MEDIUM
N6,NORMAL,1.17,1.76,0.01,0.097,0.9,27.2,72.7,61.3,0.005,0.092,0.016,8.3,LOW
N6,NORMAL,0.43,1.54,0.42,0.175,-1.61,24.0,72.3,73.0,0.03,0.086,0.01,10.1,LOW
N1,NORMAL,1.16,2.3,0.95,0.152,0.46,27.6,81.4,67.5,0.045,0.098,0.007,12.2,LOW
N2,NORMAL,0.14,2.38,0.93,0.046,0.85,34.4,91.9,97.0,0.042,0.066,0.008,7.4,LOW
N1,WARNING,2.07,3.45,3.74,0.233,26.65,26.2,92.7,60.1,0.085,0.373,0.115,38.9,MEDIUM
N1,WARNING,3.26,7.36,1.95,0.581,12.58,29.6,85.7,96.2,0.24,0.493,0.089,47.1,MEDIUM
N5,SUBSIDENCE,4.61,29.14,8.57,3.515,40.27,37.2,87.7,90.1,1.333,1.447,0.995,100.0,CRITICAL
N6,NORMAL,0.67,2.25,0.59,0.167,1.83,26.0,91.1,87.0,0.025,0.022,0.011,10.6,LOW
N1,NORMAL,1.19,0.41,0.24,0.16,0.77,26.7,91.8,61.2,0.023,0.086,0.01,7.4,LOW
N3,WARNING,3.26,2.78,3.0,0.221,26.19,25.3,86.2,79.6,0.058,0.69,0.127,42.2,MEDIUM
N3,WARNING,1.64,2.59,2.25,0.229,7.83,25.0,94.1,95.5,0.117,0.541,0.142,28.7,MEDIUM
N6,NORMAL,0.39,0.48,0.94,0.094,0.18,34.7,87.5,81.6,0.025,0.077,0.003,8.2,LOW
N3,WARNING,3.19,3.23,2.79,0.436,17.67,27.5,73.2,88.8,0.113,0.361,0.045,40.7,MEDIUM
N5,NORMAL,0.15,1.7,0.22,0.033,0.11,37.5,93.9,77.7,0.011,0.055,0.007,6.8,LOW
N2,NORMAL,0.97,0.23,0.55,0.139,-0.48,31.1,76.4,77.6,0.003,0.016,0.009,6.9,LOW
N4,NORMAL,0.62,1.97,0.11,0.143,2.82,27.0,81.1,98.3,0.037,0.073,0.009,9.3,LOW
N1,NORMAL,0.75,0.23,0.06,0.179,-1.5,28.5,77.3,85.4,0.002,0.035,0.019,7.6,LOW
N4,NORMAL,0.13,2.26,0.52,0.095,4.03,35.4,77.1,97.4,0.048,0.042,0.003,10.4,LOW
N2,NORMAL,1.14,0.46,0.96,0.079,2.52,33.0,92.1,80.3,0.002,0.089,0.013,11.5,LOW
N2,WARNING,2.14,7.26,3.23,0.721,33.2,33.2,75.9,91.4,0.146,0.413,0.079,58.2,HIGH
N5,NORMAL,0.23,0.47,0.2,0.033,2.34,34.9,89.4,66.5,0.007,0.016,0.0,2.2,LOW
N3,NORMAL,0.91,1.2,0.24,0.119,-0.75,25.0,82.4,96.1,0.038,0.005,0.019,5.1,LOW
N3,SUBSIDENCE,3.6,26.45,10.3,2.752,51.91,34.2,71.3,73.5,0.397,3.116,0.771,100.0,CRITICAL
N2,NORMAL,0.72,1.56,0.37,0.065,-0.08,32.9,82.1,75.3,0.009,0.033,0.004,7.3,LOW
N5,NORMAL,0.46,0.75,0.54,0.167,2.8,24.9,83.7,67.5,0.037,0.083,0.007,7.3,LOW
N5,WARNING,2.51,6.57,3.35,0.352,20.37,37.8,65.2,77.5,0.205,0.674,0.195,50.2,HIGH
N6,NORMAL,0.38,0.48,0.91,0.18,-0.74,28.1,66.7,62.1,0.002,0.028,0.017,6.9,LOW
N1,NORMAL,0.57,2.34,0.29,0.088,-1.29,28.2,90.3,60.4,0.025,0.07,0.005,8.5,LOW
N3,NORMAL,0.8,1.11,0.3,0.125,3.84,30.5,81.3,86.8,0.028,0.003,0.009,9.7,LOW
N2,NORMAL,0.12,1.35,0.59,0.075,2.68,28.9,75.4,83.8,0.011,0.032,0.019,7.9,LOW
N6,SUBSIDENCE,11.75,44.37,14.43,0.754,102.55,31.1,66.0,92.8,1.155,2.154,1.286,100.0,CRITICAL
N4,WARNING,2.46,4.36,1.75,0.518,11.24,31.5,87.8,90.5,0.131,0.546,0.223,35.3,MEDIUM
N3,WARNING,2.73,3.85,3.6,0.429,6.33,26.1,85.8,95.7,0.111,0.636,0.036,41.1,MEDIUM
N1,SUBSIDENCE,8.89,16.22,4.96,2.872,38.55,32.2,71.7,94.1,1.219,1.635,1.381,100.0,CRITICAL
N5,WARNING,1.78,4.19,3.5,0.356,17.3,34.1,84.4,71.3,0.137,0.181,0.029,36.5,MEDIUM
N2,NORMAL,0.43,2.37,0.99,0.096,3.62,26.0,90.1,89.2,0.037,0.03,0.001,11.8,LOW
N3,SUBSIDENCE,9.15,12.83,15.52,3.414,99.55,35.4,84.1,65.9,0.32,3.333,0.274,100.0,CRITICAL
N4,NORMAL,0.94,0.36,0.83,0.062,2.82,30.5,69.7,83.6,0.046,0.034,0.01,8.2,LOW
N1,WARNING,2.91,7.54,3.55,0.471,26.57,30.1,90.3,83.9,0.25,0.445,0.047,54.4,HIGH
N1,SUBSIDENCE,9.66,14.85,21.36,2.144,84.02,39.1,74.6,61.5,0.328,1.271,1.228,100.0,CRITICAL
N6,NORMAL,0.5,0.24,0.19,0.14,4.56,25.9,71.6,83.1,0.004,0.056,0.005,6.6,LOW
N3,NORMAL,0.17,1.2,0.14,0.064,-0.66,29.4,74.4,75.2,0.044,0.071,0.017,4.5,LOW
N4,NORMAL,0.12,1.87,0.35,0.07,2.19,32.6,74.3,99.6,0.022,0.098,0.007,8.3,LOW
N1,NORMAL,0.59,1.66,0.13,0.137,-0.12,29.9,90.0,62.1,0.022,0.088,0.019,10.1,LOW
N2,WARNING,3.15,5.96,2.47,0.687,30.36,35.5,85.3,63.5,0.124,0.654,0.043,51.7,HIGH
N1,SUBSIDENCE,9.31,29.48,14.7,1.753,54.99,35.2,67.4,83.8,1.444,1.75,0.808,100.0,CRITICAL
N4,NORMAL,0.75,1.77,0.37,0.092,0.31,32.9,91.6,77.0,0.04,0.013,0.019,9.9,LOW
N5,NORMAL,0.47,2.27,0.1,0.039,0.1,33.9,77.5,90.3,0.048,0.063,0.011,7.7,LOW
N5,NORMAL,0.53,2.1,0.27,0.064,1.66,27.2,79.1,82.4,0.022,0.065,0.007,12.9,LOW
N6,NORMAL,0.26,1.48,0.32,0.083,-0.04,33.0,90.5,76.1,0.047,0.068,0.005,6.0,LOW
N3,NORMAL,1.01,0.56,0.82,0.106,-0.44,32.1,68.5,76.7,0.02,0.099,0.016,8.0,LOW
N4,NORMAL,0.39,0.36,0.54,0.162,2.73,34.1,85.7,98.7,0.012,0.057,0.019,11.0,LOW
N6,SUBSIDENCE,10.29,13.06,10.26,4.08,71.73,39.5,74.7,80.6,0.467,2.497,1.121,100.0,CRITICAL
N1,NORMAL,1.07,1.02,0.11,0.172,1.42,37.0,75.8,75.9,0.025,0.062,0.0,6.7,LOW
N1,NORMAL,0.29,1.07,0.8,0.148,4.55,35.3,86.4,74.7,0.02,0.071,0.01,10.6,LOW
N5,WARNING,1.97,3.89,2.73,0.729,11.0,28.9,71.7,74.1,0.074,0.184,0.2,39.0,MEDIUM
N6,NORMAL,0.81,1.46,0.74,0.074,1.16,28.2,83.4,61.7,0.005,0.007,0.009,6.7,LOW
N5,SUBSIDENCE,4.54,40.01,14.19,3.207,98.15,28.6,75.1,79.6,0.996,3.616,0.906,100.0,CRITICAL
N2,SUBSIDENCE,6.19,20.41,10.07,1.174,41.35,33.8,70.6,95.5,0.37,1.211,0.68,100.0,CRITICAL
N5,NORMAL,0.99,1.4,0.72,0.079,-1.74,32.0,74.2,79.8,0.045,0.013,0.019,5.9,LOW
N2,NORMAL,0.65,0.25,0.36,0.138,1.57,31.4,80.9,98.5,0.012,0.034,0.017,7.5,LOW
N1,NORMAL,0.45,1.3,0.81,0.141,-0.14,36.9,68.9,72.7,0.008,0.07,0.005,9.9,LOW
N6,NORMAL,0.16,1.82,0.89,0.122,4.56,36.0,89.9,92.0,0.006,0.009,0.017,7.6,LOW
N2,NORMAL,0.5,0.7,0.93,0.069,0.79,25.0,88.7,84.1,0.035,0.029,0.016,5.2,LOW
N6,WARNING,2.52,5.02,1.83,0.445,18.5,26.0,86.0,60.9,0.196,0.297,0.038,35.2,MEDIUM
N6,NORMAL,1.04,1.8,0.77,0.154,-1.14,36.4,65.7,75.3,0.041,0.05,0.018,11.0,LOW
N2,NORMAL,0.68,1.76,0.29,0.06,0.67,30.0,66.6,66.7,0.025,0.095,0.015,7.3,LOW
N3,NORMAL,0.6,2.07,0.38,0.106,4.24,28.3,85.9,98.0,0.046,0.022,0.001,9.1,LOW
N5,SUBSIDENCE,4.15,9.05,19.91,3.331,109.42,27.1,82.4,74.6,0.895,2.339,0.465,100.0,CRITICAL
N2,NORMAL,0.19,2.24,0.2,0.14,-0.02,25.4,78.4,89.4,0.041,0.012,0.015,6.7,LOW
N1,NORMAL,0.29,0.86,0.86,0.162,-1.69,37.6,81.5,78.7,0.008,0.012,0.004,4.6,LOW
N6,NORMAL,1.18,1.48,0.66,0.073,0.67,26.8,65.5,81.5,0.03,0.007,0.005,9.5,LOW
N4,SUBSIDENCE,8.27,22.21,8.84,3.0,45.1,36.0,87.8,62.4,1.078,3.642,0.455,100.0,CRITICAL
N2,NORMAL,0.12,2.44,0.19,0.152,1.93,29.7,86.0,96.2,0.013,0.013,0.01,6.3,LOW
N5,WARNING,3.05,4.01,3.64,0.655,32.87,28.3,94.8,61.5,0.165,0.638,0.156,53.9,HIGH
N6,WARNING,1.57,7.41,1.18,0.685,26.46,32.2,93.1,94.7,0.059,0.401,0.194,46.4,MEDIUM
N3,NORMAL,0.47,0.39,0.94,0.103,-1.48,30.3,84.9,88.3,0.041,0.087,0.013,4.5,LOW
N1,WARNING,3.25,7.76,2.54,0.635,33.94,26.7,66.3,66.4,0.088,0.113,0.22,53.4,HIGH
N3,NORMAL,0.52,0.7,0.31,0.176,2.93,34.4,84.8,69.1,0.036,0.009,0.015,6.5,LOW
N4,WARNING,2.17,7.15,3.01,0.598,22.62,33.4,94.9,91.2,0.162,0.631,0.036,50.2,HIGH
N2,WARNING,1.87,4.03,3.0,0.691,22.34,33.8,94.0,72.0,0.182,0.212,0.185,44.9,MEDIUM
N6,NORMAL,0.93,1.2,0.56,0.151,-0.45,25.3,77.9,83.5,0.017,0.077,0.011,9.8,LOW
N2,NORMAL,1.1,0.63,0.81,0.041,-0.3,35.0,78.9,100.0,0.012,0.088,0.004,8.1,LOW
N5,WARNING,3.13,6.57,3.61,0.541,30.31,30.1,77.8,81.1,0.115,0.168,0.162,56.2,HIGH
N2,NORMAL,0.5,1.64,0.03,0.175,4.47,37.4,92.1,91.6,0.047,0.037,0.011,8.8,LOW
N1,NORMAL,0.55,1.5,0.79,0.064,2.39,32.2,94.7,84.1,0.041,0.071,0.01,6.9,LOW
N4,NORMAL,0.96,1.87,0.7,0.135,1.18,27.4,69.6,95.5,0.024,0.047,0.001,11.7,LOW
N3,NORMAL,0.4,0.52,0.12,0.132,-1.96,37.4,93.8,77.7,0.024,0.012,0.017,4.0,LOW
N4,WARNING,2.68,5.8,2.05,0.433,6.93,30.7,81.8,92.7,0.249,0.269,0.126,38.3,MEDIUM
N6,NORMAL,0.86,1.73,0.53,0.035,0.81,27.2,68.1,76.6,0.048,0.1,0.015,8.8,LOW
N2,NORMAL,1.04,1.86,0.88,0.119,-1.09,27.4,87.0,87.4,0.006,0.005,0.011,10.7,LOW
N6,NORMAL,0.45,0.61,0.1,0.138,1.15,31.3,87.3,92.6,0.016,0.086,0.012,8.2,LOW
N3,WARNING,2.78,4.92,2.14,0.62,20.54,27.9,70.6,70.5,0.226,0.723,0.231,51.7,HIGH
N6,NORMAL,0.93,1.05,0.17,0.036,0.29,24.3,68.5,93.8,0.007,0.016,0.014,9.3,LOW
N5,WARNING,3.14,4.31,1.26,0.582,15.8,32.2,91.9,91.7,0.061,0.21,0.052,38.1,MEDIUM
N4,NORMAL,0.7,1.17,0.62,0.091,-0.28,35.8,77.9,76.1,0.034,0.087,0.007,10.4,LOW
N3,SUBSIDENCE,3.74,33.73,18.54,3.039,46.35,31.5,94.0,89.0,0.455,2.92,0.752,100.0,CRITICAL
N3,NORMAL,0.55,0.24,0.03,0.13,3.86,37.5,94.6,82.0,0.035,0.041,0.001,5.6,LOW
N3,NORMAL,0.18,1.44,0.89,0.129,3.04,36.7,80.8,91.7,0.004,0.011,0.003,11.2,LOW
N1,NORMAL,0.23,2.33,0.82,0.056,4.12,36.7,92.5,73.2,0.013,0.021,0.005,8.7,LOW
N4,SUBSIDENCE,9.5,33.0,18.52,1.773,73.26,35.2,72.6,98.3,1.302,0.897,0.721,100.0,CRITICAL
N6,SUBSIDENCE,3.76,43.45,7.9,0.918,56.94,28.3,84.3,78.3,1.479,3.584,0.511,100.0,CRITICAL
N3,NORMAL,0.97,0.26,0.61,0.137,4.95,33.0,80.7,96.0,0.034,0.023,0.002,9.7,LOW
N4,WARNING,2.87,5.3,2.21,0.41,11.79,26.9,68.8,67.6,0.054,0.502,0.069,37.4,MEDIUM
N3,WARNING,1.27,6.21,2.2,0.5,24.11,27.4,79.3,96.8,0.293,0.148,0.116,43.3,MEDIUM
N5,NORMAL,0.9,1.72,0.44,0.127,-1.77,26.8,89.2,62.2,0.029,0.055,0.007,8.2,LOW
N5,NORMAL,0.18,1.21,0.25,0.139,2.44,36.1,75.4,73.6,0.039,0.032,0.015,8.7,LOW
N5,NORMAL,1.09,0.31,0.35,0.039,-1.8,28.0,90.5,77.5,0.006,0.043,0.014,5.5,LOW
N2,NORMAL,1.17,2.39,0.77,0.169,2.95,34.5,77.7,93.5,0.045,0.024,0.007,13.9,LOW
N3,SUBSIDENCE,10.96,19.09,18.82,1.282,60.06,33.6,71.2,91.8,1.077,1.638,0.974,100.0,CRITICAL
N2,SUBSIDENCE,8.87,19.76,8.18,3.782,97.68,34.1,68.0,83.5,0.645,0.932,1.256,100.0,CRITICAL
N4,WARNING,2.24,6.76,1.63,0.438,9.69,33.7,77.7,96.9,0.289,0.645,0.189,41.8,MEDIUM
N2,NORMAL,0.18,2.05,0.22,0.072,1.64,29.6,93.4,69.9,0.039,0.084,0.012,12.1,LOW
N4,NORMAL,0.98,1.61,0.38,0.02,1.13,28.9,83.4,93.5,0.014,0.01,0.002,9.2,LOW
N4,WARNING,1.62,4.84,2.18,0.473,29.29,32.5,78.1,92.9,0.188,0.693,0.139,46.8,MEDIUM
N4,SUBSIDENCE,11.35,31.65,18.77,0.954,102.96,39.0,90.6,96.5,0.583,1.749,0.317,100.0,CRITICAL
N6,SUBSIDENCE,10.7,25.74,20.63,4.095,72.69,37.7,90.9,97.4,0.563,3.237,1.469,100.0,CRITICAL
N2,WARNING,3.26,6.77,3.15,0.331,23.64,25.8,65.1,87.1,0.18,0.703,0.133,52.7,HIGH
N6,WARNING,2.46,4.32,1.51,0.446,8.01,30.5,72.7,94.0,0.134,0.365,0.127,33.0,MEDIUM
N3,NORMAL,0.49,0.73,0.18,0.072,-1.53,31.4,87.9,61.6,0.002,0.061,0.012,7.5,LOW
N2,NORMAL,1.13,0.42,0.67,0.041,4.16,24.1,88.3,86.0,0.026,0.008,0.012,6.9,LOW
N3,SUBSIDENCE,5.31,21.87,4.14,3.143,59.2,39.4,84.0,69.7,1.157,4.34,0.624,100.0,CRITICAL
N3,WARNING,2.2,6.57,2.34,0.219,10.06,26.3,90.1,98.4,0.248,0.554,0.151,39.6,MEDIUM
N4,NORMAL,0.14,0.38,0.88,0.15,2.33,34.2,84.4,99.4,0.047,0.065,0.004,9.8,LOW
N2,NORMAL,0.34,1.58,0.78,0.074,0.66,36.4,71.3,99.3,0.044,0.04,0.012,7.3,LOW
N3,WARNING,2.81,5.23,2.29,0.724,11.17,30.6,94.7,95.6,0.128,0.315,0.086,41.1,MEDIUM
N5,NORMAL,0.46,1.17,0.67,0.023,3.74,30.5,65.4,76.0,0.044,0.086,0.008,7.2,LOW
N3,NORMAL,0.61,2.29,0.89,0.175,4.2,27.8,82.3,88.0,0.0,0.064,0.001,11.6,LOW
N5,NORMAL,0.82,0.31,0.1,0.041,-1.36,29.7,85.8,68.0,0.009,0.069,0.017,4.6,LOW
N2,WARNING,3.44,4.42,3.54,0.719,30.94,24.1,66.6,96.6,0.067,0.555,0.048,53.7,HIGH
N6,WARNING,3.29,3.74,2.64,0.724,19.9,30.7,88.5,77.3,0.148,0.438,0.202,47.5,MEDIUM
N2,NORMAL,0.38,0.95,0.08,0.1,-0.96,37.4,90.5,98.1,0.041,0.042,0.015,4.8,LOW
N6,WARNING,2.51,3.41,3.81,0.675,30.93,34.5,67.7,70.4,0.223,0.537,0.023,49.6,MEDIUM
N6,NORMAL,0.71,1.24,0.02,0.152,4.15,25.7,87.1,65.1,0.034,0.054,0.019,10.4,LOW
N2,NORMAL,0.52,1.55,0.74,0.021,-0.18,28.3,81.2,67.6,0.027,0.053,0.013,7.0,LOW
N3,WARNING,1.63,5.67,3.06,0.249,8.68,29.6,70.4,60.1,0.191,0.289,0.11,34.0,MEDIUM
N1,WARNING,3.16,6.43,3.07,0.492,26.03,32.0,78.3,82.3,0.284,0.566,0.081,54.2,HIGH
N3,WARNING,2.39,7.22,2.96,0.288,6.89,29.2,76.3,99.2,0.156,0.111,0.093,38.2,MEDIUM
N3,WARNING,1.9,3.96,1.39,0.471,9.61,35.6,66.3,76.8,0.204,0.209,0.153,31.5,MEDIUM
